URL,Valoración,Estación,Km freeride,Continente,País,Provincia/Estado,Altitud,Km fáciles,Km intermedios,Km difíciles,Precio forfait adulto,Moneda,Tamaño del dominio esquiable,Variedad de pistas,Remontes y teleféricos,Fiabilidad de nieve,Acceso y aparcamiento,Señalización,Limpieza e higiene,Sostenibilidad,Gastronomía,Après-ski,Alojamiento en pistas,Familias y niños,Principiantes,Snowparks,Esquí de fondo,Código país,Latitud,Longitud,Km totales,Categoría tamaño,% Pistas fáciles,% Pistas intermedias,% Pistas difíciles,Perfil recomendado,Perfil freeride,Precio por km,Precio forfait EUR,Precio por km EUR
http://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,4.6,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,8.7,Europe,Austria,Tyrol (Tirol),2500.0,40.0,63.0,33.0,52.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,AT,47.516231,14.550072,136.0,Grande,29.411764705882355,46.32352941176471,24.264705882352946,Intermedio,Freeride básico,0.38,52.0,0.38
http://www.skiresort.info/ski-resort/obertauern/,4.5,Obertauern,0.0,Europe,Austria,Salzburg (Salzburger Land),2313.0,61.0,35.0,4.0,53.0,European Euro,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,AT,47.516231,14.550072,100.0,Grande,61.0,35.0,4.0,Principiante,Sin freeride,0.53,53.0,0.53
http://www.skiresort.info/ski-resort/gurgl-obergurgl-hochgurgl/,4.5,Gurgl – Obergurgl-Hochgurgl,4.5,Europe,Austria,Tyrol (Tirol),3082.0,35.0,55.0,20.0,52.0,European Euro,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,AT,47.516231,14.550072,110.0,Grande,31.818181818181817,50.0,18.181818181818183,Intermedio,Freeride básico,0.47,52.0,0.47
http://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/,4.5,Hochkönig – Maria Alm/Dienten/Mühlbach,8.0,Europe,Austria,Salzburg (Salzburger Land),1900.0,52.0,41.0,19.0,51.0,European Euro,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,AT,47.516231,14.550072,112.0,Grande,46.42857142857143,36.60714285714285,16.964285714285715,Equilibrada,Freeride básico,0.46,51.0,0.46
http://www.skiresort.info/ski-resort/snow-space-salzburg-flachauwagrainst-johann-alpendorf/,4.5,Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,5.0,Europe,Austria,Salzburg (Salzburger Land),1980.0,30.0,81.0,4.0,52.0,European Euro,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,AT,47.516231,14.550072,115.0,Grande,26.08695652173913,70.43478260869566,3.4782608695652173,Intermedio,Freeride básico,0.45,52.0,0.45
http://www.skiresort.info/ski-resort/schmittenhoehe-zell-am-see/,4.4,Schmittenhöhe – Zell am See,8.0,Europe,Austria,Salzburg (Salzburger Land),2000.0,30.0,28.0,19.0,51.0,European Euro,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,AT,47.516231,14.550072,77.0,Grande,38.961038961038966,36.36363636363637,24.675324675324678,Equilibrada,Freeride básico,0.66,51.0,0.66
http://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,4.4,Wildkogel – Neukirchen/Bramberg,2.0,Europe,Austria,Salzburg (Salzburger Land),2150.0,29.0,25.0,10.0,45.0,European Euro,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,AT,47.516231,14.550072,64.0,Mediana,45.3125,39.0625,15.625,Equilibrada,Freeride básico,0.7,45.0,0.7
http://www.skiresort.info/ski-resort/kitzsteinhornmaiskogel-kaprun/,4.4,Kitzsteinhorn/Maiskogel – Kaprun,0.5,Europe,Austria,Salzburg (Salzburger Land),3029.0,13.0,25.0,3.0,51.0,European Euro,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,AT,47.516231,14.550072,41.0,Mediana,31.70731707317073,60.97560975609756,7.317073170731707,Intermedio,Freeride básico,1.24,51.0,1.24
http://www.skiresort.info/ski-resort/bad-gasteinbad-hofgastein-schlossalmangertalstubnerkogel/,4.4,Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,1.3,Europe,Austria,Salzburg (Salzburger Land),2300.0,30.6,52.8,2.6,52.0,European Euro,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,86.0,Grande,35.58139534883721,61.3953488372093,3.0232558139534884,Intermedio,Freeride básico,0.6,52.0,0.6
http://www.skiresort.info/ski-resort/katschberg/,4.3,Katschberg,2.0,Europe,Austria,Carinthia (Karnten),2220.0,10.0,50.0,10.0,43.0,European Euro,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,AT,47.516231,14.550072,70.0,Mediana,14.285714285714285,71.42857142857143,14.285714285714285,Intermedio,Freeride básico,0.61,43.0,0.61
http://www.skiresort.info/ski-resort/turracher-hoehe/,4.3,Turracher Höhe,1.0,Europe,Austria,Carinthia (Karnten),2205.0,14.0,24.5,3.5,46.0,European Euro,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,AT,47.516231,14.550072,42.0,Mediana,33.33333333333333,58.333333333333336,8.333333333333332,Intermedio,Freeride básico,1.1,46.0,1.1
http://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,4.2,Ski Juwel Alpbachtal Wildschönau,6.3,Europe,Austria,Tyrol (Tirol),2025.0,25.9,53.7,13.5,52.0,European Euro,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,AT,47.516231,14.550072,93.1,Grande,27.819548872180448,57.67991407089153,14.500537056928032,Intermedio,Freeride básico,0.56,52.0,0.56
http://www.skiresort.info/ski-resort/damuels-mellau/,4.2,Damüls Mellau,7.7,Europe,Austria,Vorarlberg,2050.0,29.7,48.0,1.7,50.0,European Euro,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,79.4,Grande,37.40554156171284,60.45340050377833,2.141057934508816,Intermedio,Freeride básico,0.63,50.0,0.63
http://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,4.2,Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,2.0,Europe,Austria,Tyrol (Tirol),1860.0,18.0,22.0,2.0,45.0,European Euro,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,AT,47.516231,14.550072,42.0,Mediana,42.85714285714285,52.38095238095239,4.761904761904762,Equilibrada,Freeride básico,1.07,45.0,1.07
http://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,4.2,Großglockner Resort Kals-Matrei,0.0,Europe,Austria,Tyrol (Tirol),2422.0,8.5,22.5,6.0,43.0,European Euro,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,AT,47.516231,14.550072,37.0,Mediana,22.972972972972972,60.810810810810814,16.216216216216218,Intermedio,Sin freeride,1.16,43.0,1.16
http://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,4.2,Nauders am Reschenpass – Bergkastel,11.0,Europe,Austria,Tyrol (Tirol),2740.0,24.0,34.0,13.0,41.0,European Euro,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,AT,47.516231,14.550072,71.0,Mediana,33.80281690140845,47.88732394366197,18.30985915492958,Intermedio,Freeride avanzado,0.58,41.0,0.58
